location_id;location_name;locality;sensor_id;parameter;value;datetime
"2163391";"""Chopok - EMEP/O3""";"Horna Lehota";"7773521";"o3";"85.876";"2025-04-09T08:00:00+02:00"
"3403806";"Ružomberok, Pivovarská";"";"12213614";"pm1";"18.027583599090576";"2025-04-09T09:00:00+02:00"
"3403806";"Ružomberok, Pivovarská";"";"12213615";"pm25";"26.78112506866455";"2025-04-09T09:00:00+02:00"
"3403806";"Ružomberok, Pivovarská";"";"12213616";"relativehumidity";"26.530333360036213";"2025-04-09T09:00:00+02:00"
"3403806";"Ružomberok, Pivovarská";"";"12213617";"temperature";"18.699583371480305";"2025-04-09T09:00:00+02:00"
"3403806";"Ružomberok, Pivovarská";"";"12213618";"um003";"3268.4562377929688";"2025-04-09T09:00:00+02:00"
"2163367";"""Plastovce""";"Plastovce";"7775335";"no2";"12.3022";"2025-04-09T08:00:00+02:00"
"2163367";"""Plastovce""";"Plastovce";"7773500";"o3";"28.734";"2025-04-09T07:00:00+02:00"
"2163367";"""Plastovce""";"Plastovce";"7773692";"pm10";"16.607";"2025-04-09T08:00:00+02:00"
"2163367";"""Plastovce""";"Plastovce";"7774606";"pm25";"17.397";"2025-04-09T08:00:00+02:00"
"5182";"SK0021A";"Trnavský kraj";"13383";"pm10";"18.309";"2024-01-29T20:00:00+01:00"
"5182";"SK0021A";"Trnavský kraj";"13460";"pm25";"13.932";"2024-01-29T20:00:00+01:00"
"5182";"SK0021A";"Trnavský kraj";"13389";"so2";"9.89201";"2024-01-29T20:00:00+01:00"
"5194";"SK0407A";"";"13463";"co";"1033.21";"2022-04-29T12:00:00+02:00"
"5194";"SK0407A";"";"13464";"no2";"23.2308";"2022-04-29T12:00:00+02:00"
"5194";"SK0407A";"";"13465";"pm10";"17.718";"2022-04-29T12:00:00+02:00"
"5194";"SK0407A";"";"13466";"pm25";"9.8534";"2022-04-29T12:00:00+02:00"
"5194";"SK0407A";"";"13396";"so2";"2.72783";"2022-04-29T12:00:00+02:00"
"2163356";"""Senica - Hviezdoslavova""";"Senica";"7773672";"pm10";"24.754";"2025-04-09T08:00:00+02:00"
"2163356";"""Senica - Hviezdoslavova""";"Senica";"7774737";"pm25";"18.112";"2025-04-09T08:00:00+02:00"
"2163356";"""Senica - Hviezdoslavova""";"Senica";"7773823";"so2";"0";"2025-04-05T18:00:00+02:00"
"2163363";"""Rohoznik - Senicka cesta""";"Rohoznik";"7773975";"co";"1520.06";"2025-04-09T08:00:00+02:00"
"2163363";"""Rohoznik - Senicka cesta""";"Rohoznik";"7773168";"no2";"29.332";"2025-04-09T08:00:00+02:00"
"2163363";"""Rohoznik - Senicka cesta""";"Rohoznik";"7774217";"pm10";"22.417";"2025-04-09T08:00:00+02:00"
"2163363";"""Rohoznik - Senicka cesta""";"Rohoznik";"7775894";"pm25";"9.5778";"2025-04-09T08:00:00+02:00"
"2163363";"""Rohoznik - Senicka cesta""";"Rohoznik";"7772910";"so2";"3.57424";"2025-04-09T08:00:00+02:00"
